author,comment
v8j0jx4csmzfg4pew220xuc2rppn,Bagus sih kain.nya halus tapi mnurut aku agak kurang rapi aja motong kain sama benang²nya ...selebihnya it's okey 👍
j31yrygst3,Ukuran pas sablon oke tpi kain agak tipis okelah sesuai ama harga....
m*****7,Gak perlu di raguin lagi sama bahannya baju erigo 👍👍👍👍👍👍👍☺️☺️☺️☺️☺️
papamentari2,"Mantab , pengiriman sangat cepat
Packing rapi
Joss 1000000000000000%"
t*****a,"Bajunya bagus dapet sticker juga pengirimannya juga cepat, cuma sayang di bagian kerahnya kekecilan tpi di badannya paas.."
r*****8,"pengiriman dan pengemasan cepat. Warna nya bagus corak nya juga bagus, kainnya lembut enak adem. Suamiku suka"
m*****2,bagus bangeetttttttttttt🥺🥺🥺
irenenoviani,"Kaosnya keren bgt. Tebel tp adem. Pengiriman cepet bgt, beli tgl 17, tgl 18 udh sampe. Keren dpt harga flash sale jg. Ga nyesel beli kaos ini. Ok banget 👍🏻 sukses terus ya bro"
g*****3,"Kualitas oke,bahan halus adem ,nyaman dipakai,sangat puas"
safitriendang59,"Selalu suka sama koleksi erigo, mumpung lg promo langsung deh beli 3 kaos. Thankyou erigo"
.alfiansyah_25,"barang ori emang gaperlu diragukan lagi si, bahan halus adem, sablon nya juga rapih.
plus stiker juga pula. Thanks'y all Erigo."
puspitakhairani,"Bahannya adem,dan tidak kaku,cuma agak tipis dikiit. Namun masih tetap oke bangeett"
ovi.iksannn_,"Bagus banget baju nya, packing rapi, next order lagi makasih"
rahayu_dewi14,Pngirimannya cpt 2 hari dah smpai. Bahannya bagus sih adem. Suka bgt. Mksi xixi <3
r*****u,"paketnya nyampenya cepat.
terua sesuai sama pesanan.
bagus pokoknya"
nurlinda34,next order lagi😍
demiyustika29,"Terima kasih..
Bajunya bagus
Muat untuk adikku..
Adikku suka banget..
Semoga makin banyak variannya yaa.
Thanks erigo.."
apreliaduwi,"Sesuai dongggg, tapi sayang ada noda di bagian belakng kaos nya huhuhuhu maaf ya kak"
soelfaien,"Kualitas baik..
Kain juga adem nyaman dipakai dg brand yg lagi hits.."
vivisaphiria,"Suka kalikk sama kaosnya. 
Baru pertama kalik nyoba pesan tdk mengecewakan. Next pesan lagi yakk😊"
a*****7,"Gak perlu banyak ulasan...
Soal kualitas
Erigo is the best 👍👍👍"
r*****7,"Sesuai permintaan....pas...bagus banget...amanah slalu yaa,"
elyjuniati86,Pengiriman cepett bahanyaa bagussss polllll ademmm:) hehee
