author,comment
erikegagusta,Alhamdulillah mantap bosskuuu mantull mantapp betulll 😍😍🙏🏻😊 masyaallah barakhaallah 🖤 terimakasih atas responnya dengan baik 🙏🏻
cyncristiviane,Barang oke...harga oke...respons penjual oke...kecepatan pengiriman oke....
luthfunachmad,Alhamdulillah barang sudah sampai di rumah semoga bermanfaat dan bisa semoga bermanfaat dan bisa semoga bermanfaat dan bisa semoga bermanfaat dan bisa semoga bermanfaat dan bisa semoga bermanfaat dan bisa semoga bermanfaat dan bisa
mrs.rchm,Pengiriman lumayan cepat pengemasan rapi tanpa ada cacat sedikit pun overall ok semuanya.
roby.zul,"Mantap. Sesuai sekali. Ngga nyesel. Pengiriman sangat cepat tanpa basa basi, next bakal langganan, pertahankan untuk kualitasnya. "
k*****a,Okkk terimaaaaaaaa kasiiihhhhhhhhhhhh banyakkkkkkkkkkkkkkkk ........
f*****i,"bajunya udah sampe, thankyou so much! pelayanannya baik, begitu juga dengan kualitas bajunya. semoga sukses terus untuk erigo☺️☺️"
denisfira2002,Barang real pict ...kainnya adem nyaman di pakai ..puas belanja disini😍
,ranggga suka dengan produk iniiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
d*****a,"Suka, pengiriman dan pengemasan cepet. Produk juga bagus. Makasih kak❤️"
r*****w,"Barang sesuai pesanan, pengiriman cepat. Mantap, selalu sesuai dgn keinginan. "
n*****o,"alhamdulillah dpt flashsale hehe, langsung di kirim jd cepat sampai"
syamsuddink,"Proses sangat sangat sangat sangat cepattt, ngga nyampe 3 hari guys, the best lah, dan kaos erigonya mantap sablon pun mantap, keren² lg, nex order lah."
b*****4,Sukakkkk baju nya adem tapi aga tipis pengiriman cepatttt terimakasihhh
sfatimahazzahr,kualitas produk sangat baik. produk original. harga produk sangat baik.
n*****5,Harga terjangkau kualitas kain bagus pengiriman cepat pokoknya sip dah.
angelinap8,Barangnya udah sampee bahannya bagus sesuai sama gambar. Semoga awet ya
h*****l,Produk yang dikirim sesuai pesanan.  Kualitas produk sangat oke. Terimakasih stiker comelnya
annisadesym22,BAGUS BGTT SELALU SUKA PRODUK ERIGO APALAGI KALO BELI PAS TGL KEMBAR WKWK WALOPUN RADA LAMA YAA
yeyeen2008,Alhamdulillah da sampe............... terima kasih............
h*****a,"pengirimannya agak lama mungkin karna 12.12, dikirimnya seminggu setelah pemesanan. tapi gakpapa yg penting sampe, thanks seller"
feranighita09,"Emang ga pernah nyesel beli erigo hehe, cuma biasanya pake kerdus terus dapet stickee mungkin ini karna promo jadi ga dapet hehe"
l*****_,"Baju nya bagus bangett bahannya adem ga panas, nyesel beli satu doang next order lg dehh karna sebagus ituuu bahannyaa luvv bngt"
desfanriano,Mantap langganan sama erigoo bahan bagus size passs.... mantapppnnbb. Sipp
giorediandosuryawiguna,Bagus banget super hemat dengan kualitas baju yang super nyaman untuk dipakai sehari hari
b*****2,"Thank you barangnya udah sampai.
Dapet harga diskon juga kemarin.
Thank you thank you thank you"
g*****l,"Sampainya tepat waktu, pengemasan lumayan lama mungkin karena overload, but its okay, bahannya bagus dan harganya worth it sekali, thanks seller!✨"
amalisaia,Selalu cepat pengiriman packing okee dah repeat order beberapa x jg si
dani_rahmansyah,"Bajunya bagus, bahannya juga kayanya adem, dpt harga flash sale. Pengiriman lumayan cepat. Kerahnya bagus kecil, jadi ga meble memble."
nazliatulahba,"Jangan ragu buat belanja disini, pengiriman cepet banget, packing okee"
santi_santy__,"Mantuullllll
Baguuuuusssssss
Syukaaaaaaa
Bangeeettttt
Pollllllllllllll
"
albetfauzanullah,"Kualitas produk sangat baik, produk original, harga produk sangat terjangkau, kecepatan pengiriman sangat baik, bahannya nyaman"
r*****0,"Bahannya bagus, nyaman dipake nya❤️ suamiku suka. Makasih seller🥰"
n*****i,"Produk baik, pengiriman cepat, produk original, pelayanan penjual baik"
joscelind13,Kualitas produk baikkkkk.. oke bangett sukaaa!! Pengiriman juga cepatt
p*****_,Pengirman cept kualitas oke harga bersahabat pokoknya the best xie xiw
mayangmbm02,"Pengiriman cepat, kualitas produk tidak usah diragukan lagi 👍🏻👍🏻👍🏻👍🏻👍🏻"
s*****b,"Kualitas produk sangat baik, pengiriman juga baik, produk juga original"
pinkafara,"Barang sesuai pesanan, bahan alus, adem, dan tidak mengecewakan, pengiriman tepat waktu. Thanks erigo atas diskonnya! Gak mengecewakan sama sekali ♥"
a*****9,"nyampe cmn seharii, ori barangnya, sesuai pesanan juga, terimakasih 🤩🤩"
o*****a,Goood dehhhhhh pokonyaaaa barangnya udh sampeee dan pas pembeliannn lagi ada flash sale juga lumayan bangetttt hehehehe makasih
l*****8,Rekomendasi banget toko ini barang original harganya terjangkau jg
z*****7,"Bagus real pic, bahannya gk tebal tapi juga gk tipis sedang, ukuran xl gk terlalu besar juga, packingan aman, tidak ada yang cacat pokoknya bagus bakalan langganan😂👍"
s*****i,Bagus barang ori pengiriman sangat cepat rekomendasi bangettt 🤍🤍🤍🤍
agungprasetyo45,Keren bahannya jga adem next mau jdi langganan dsini 😎🤙🏻 sukses tfus erigo
rosalina228,"Bajunya bagus, mantapp banget suka deh rekomended banget deh pokoknya"
rifkisandi2509,"Nggak pernah kecewa sama erigo sih.. Kualitas gaperlu diragukan,dan harga terjangkau tentunya. Love it."
anugerahadisti523,"Bagus lah masa engga wkwkwk 
Uda brand ya ngapain diragu kan 
Makasi seller pengen nya sih harga diturunin dikit kak wkwkwkwk😉"
lishanlin,"Packing rapi, barang oke, bahan juga bagus sesuai ekspektasi. Makasih"
n*****6,"Kualitas produk sangat baik, harga produk sangat baik, kecepatan pengiriman sangat baik. Next order lagi..puas banget pokoknya"
m*****h,"product bagus dan murah dengan harga segitu .
Pengemasannya doang lama banget pesan tgl 21 tgl 26 baru sampe .
Over all ok lah "
m*****4,Barang sudah sampai bagus sesuailah sama harganya mantab!
l*****a,"Kualitas product original, response penjual sangat baik, suka kalo beli disini, cuma untuk pengiriman aja agak lama, but it's okay
 Terima kasih kak 👌🏻"
dewienyietnyietputrirama,"Pengiriman cepat
Kualitas okeee
Harga sangat terjangkau
Penjual Ramah"
t*****_,mantap bajunyaaa sudah sering belanja disini erigo emang mantappp
renorafi999,"Bahan bagus..
Pengiriman juga oke..
Cuma ukrna M nya kecil
..untuk bb 58 kg kebwah"
e*****r,Kualitas produk sangat baik produk original harga produk sangat baik
hakahouse,"Cakep
Mg2 suami suka
Buat kado ultah 
Trmksh seller 
Next order lagi "
septiputri61,Akhirnya dapet juga kaos erigo dengan harga murce cuma duapuluh ribu
ayu04,"Produk original harga juga terjangkau, Terima kasihh kak, pengiriman cepat "
h*****5,"sablonnya makin kesini makkn bagus
terimakasih
kualitas terus ditingkatkan"
mutiarahma66,"bagussss pengirimann cepettt bangettttt,cocok banget buat kado pacar"
heyale,"Kualitas bagus
Produk original
Harga produk baik
Respon penjual baik"
puspashop18,"Pengiriman cepat pengemasan juga bagus,yg penting produknya istimewa"
m*****a,"Packing rapi dan pengiriman cepat, barang sesuai gambar, <3 U  ERIGO"
stberlianaa,"Barang sesuai pesanan kecepatan pengiriman baik produk bagus, 👍🏻👍🏻👍🏻"
ferdiandrispt,Barangnya bagus ngga ada yang rusak pengiriman sangat cepat makasih
debyky28,"Manteppp bgt, udah ketiga kalinya beli di erigo. Keren semua dari kaos, coach jaketnya jugaaa. Ga sempet foto keburu dikadoin"
nabillaakp,"Mantap produk original bubble tebl + dus aman 
Mantap produk original bubble tebl + dus aman

Maap ga nyimpen foto video asli "
r*****h,udah sampek kaosnyaaa. bahannya adem. sablonannya juga bagus kok. tpi ada noda sedikit dibajunya but still okee. terimakasihh
elennitaa,"Datengnya cepet
Barangnya juga bagus
Pengiriman lumayan aman
Semoga bisa langganan"
flanellia,"Bahan : bagus
Harga : terjangkau
Pengemasan : rapi .Udah 4x belanja di sini. Terimakasih. Semoga laris manis. Sukses terus. "
l*****h,Produk erigo emang mantep bgt suka bgt desain bagus bahan adem
muhtaufan99,Anjayy langgang poko ny gajian besok cuss beli lgi klo bisa bintang 10 toko mall kyk gni⭐ thanks you sticker nya bagus banget😍 thanks you erigo
a*****5,"Baguss, di tag harga 180an, dpet hrga 60rbuan.
Muraahh, kualitas baguss.
Cintai produk dalam negeri."
r*****a,"Alhamdulillah paketannya udah nyampe. Maaf foto nya gak sesuai tapi barang bagus banget aku sukaaaa, next bakalan order lagi"
nurjulia7,"Pengirimannya cepat, bahannya ga perlu diragukan lagi, the best"
naimaalala,"Ter debeees pokoknya😍😍😍
Gak mengecewakan, siiip banget lah pokoknya"
q*****r,"Bagus banget, dapat diharga promo lumayan cuma 40k dapat kaos erigo"
m*****h,"Serius ini bagus banget harga terjangkau tapi kualitas oke punya, ga bakal nyesel n bakalan jadi langganan ini mah good job."
a*****l,"Cepet banget pengirimannya, bagus, original, mantabbbbbbbb"
t*****i,"untuk barangnya ini aku kehabisan dan lagi proses refund adminnya bertanggung jawab, sukses ya ka"
s*****h,Alhamdulillah dapet flash sale makasih erigo pengirimannya jg cepat
widyanadaoktaviani,Suka banget Alhamdulillah kebagian diskon 12.12 🥺🥺🥺🥺 suka banget bahannya adem 🥰🥰🥰🥰🤗 terimakasih erigo
adhyatmaarisandhi,Mantaaaaaaaaaaaaaaaap Betuuuuuuuuuuuuul kaosnya dan bahannya dingin 👍👍👍👍👍👍👍👍
r*****9,"Barang oke hanya saja pengiriman agak lama, mungkin karena 12.12 kali ya... "
s*****8,"Best, bahan adem, tebel, pengiriman cepet juga, sukses terus erigo"
i*****2,Produk original ya kak. Suka banget kak mau langganan deh kak.....
arnirahma11,"Packing rapih, aman. Pengiriman cepat. Sesuai pesanan. Terimakasih"
h*****_,Kualitas memuaskan seperti biasanya dan tidak mengecewakan untuk pelayanannya
firdan.a.20,"Cepet bangett barangnya nyampe, bahannya ga panas
Pokoknya ahh mantaafff"
m*****1,"Barang sudah sampai, kualitas produk sangat baik, produk original."
v*****r,Makasiiihhh kaaak bajunyaaa sudahhh sampaiii terimakasihh banyakkk
g*****i,bajunya sangat bagus dan saya suka dan sudah langganan beli disini
k*****o,Bagusssssssss biasa kalo ada event beli dijakcloth barang ori adem
y*****o,"Bagus sekaliiii sesuai gambar dan gak mengecewakan, keren sekLiiii"
r*****i,Kaosnya bagus..kainnya adem..pengitiman standar..next order lagi..
iracancer1981,"Kereeeen bangeeet nih..bahan adem, tipis tp tdk murahan..dipake enak"
princelol_,"Lama datang karna slah pakai ekspedisi,, dan ukuran baju local hehehhe. Kesempitan baju nya. Tapi gapapa makasihhh erigo 💕"
paulinariza,"Gambar dan bajunya sesuai, kain adem enak, pengiriman cepet harga terjangkauuu, mantappp TIDAK MENGECEWAKANNN BOSSKU"
d*****7,"Kualitas produk sangat baik.
Peiriman nya juga sangat baik.
Kualitas produk sangat baik.
Bahan nya enakkk ademm.
Mksh kak."
p*****1,"Barang sesuai dengan pesanan, keadaan barang baik, terima kasih😁"
rival27gaming,"Makasih kak pesanan nya udah sampai☺️bahan nya adem enak di pakai gak panas 😁terima kasih banyak buat kk Erigo sama kurir dan Shopee .🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟
"
iswaningsih02,"Bahannya halus, tebal, adem.
Pengiriman nya lumayan cepat."
a*****7,Kualiatas produk sangat baik baik.... Kualiatas produk sangat baik
f*****e,Hmm bb 47 tb 160an biasanya pilih M apa engga L. Karna pgn yg oversize pgn L/Xl tapi abiss. Terpaksa pilih xxl tp gpp bagus kokk
dhaifina1234,"lumayan bagus bajunya, dapet pas lagi flash sale jadi lebih murah"
m4ftukh4h93,Bahan halusssssss suka sukaaaaa sukaaaaa aaa sama kaosnyaaaa sukaa bgtzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz hargaaa beli pas diskonnnn dunkkkkk
reberta.etha,"Kualitas bagus, harga lumayan murah, respon penjual lumayan cepat"
z*****h,Sudah sampai kaos nya bagussss bangett sesuai dengan yang dipesan
nurul_buny,"Kualitas bagus, harga pas diskon dong 😍 pengiriman ceper banget 😍"
f*****h,"Produk sesuai  gambar dan deskripsi 👍, pengemasan aman dan rapi 😊"
partiyahrachmawaty,Bahan adem enak dipakai...ukuran L di bdn pas dngn bb 75 cuma lengannya agak pndek..tpi gpp masih nyaman dpkai hrga murah
anastasyaazahra,top deh erigo mah bahannya mantuo sablonnya juga ga gampang luntur baju kesekian dari erigo dapet harga flash sale juga thx u
z*****_,"Pengiriman nya cepet bangett,, lup lup dah uwuu....mmmmm...."
t*****a,"Kualitas produk sangat baik original paking baik pengiriman cepat seller ramah dan recommended,,"
l*****s,Bagussssss bahanyaaa adeemm next order lagiii tengkyuuu💜💜💜💜💜 Bagussssss bahanyaaa adeemm next order lagiii tengkyuuu💜💜💜💜💜
f*****_,makasih banyak erigo selalu suka sama paketannya bagus bahannya dem terus desainnya racun mulu jadi pengen beli teurs dah
miniluv.id,Terimakasih barangnya sudah saya terima dan sudah sesuai pesanan
yufaty,"Seller responsible
Packaging aman, Alhamdulillah
Terimakasih yaa"
h*****_,"pengirimannyaa cepet, bahannya bagus, buat kado si semoga cocok👍"
yunita_ytm,"Kwalitas produk bagus. Packing rapih, pengirimannya juga cepat. Terima kasih 👍🏻👍🏻👍🏻"
widyanti_izzati,"Alhamdulillah paket sudah tiba, express banget, Rabu pesan Kamis barang datang, sesuai gambar dan size nya, trims seller, Pak Kurir, dan Shopee"
z*****i,"Barangnya oke, ga sempat foto dan video karna untuk hadiah teman"
nabilasyiff,Bagussss bangett bahannyaaaaaaa cepeet sampeeew manteppppppppppp
h*****2,Belum sempet ku Poto udah keburu diambil sama yang punya nya ♥️🤗
willy.saputra_,mager foto jadi video nyanyi aja kalo mau dengerin dengerin aja🤣
aqmarina98,Sudah sampai pengiriman cepat packaging aman pesanan sesui semua
febriani.trisnawati,Pengiriman cepat aman packing rapi barang sesuai gambar mantulll
p*****p,bagus banget buat kado cocok....... bagus banget buat kado cocok
yudh_09,"Lumayan,
Moga awet yaah...................,,
Yg bagus bahan bajunya doang, hufft😪"
sifnu03,Baguss bagus baguss bangett terima kasih banyak smoga lancar trus yah erigooo bahannya jg lembutt sukaa tshirt debess
andredwivani21,mantell vangetttttttytttt.    akakakakakakakakakakwkak. akakaka
fenyalghaisan,Maaf foto ga sesuai tp banjunya bagus banget suami saya suka. Next order lagi pengiriman cepat Skali ahari lngusng sampe
a*****p,Alhamdulillah kebagian pas 12.12. barang oke banget gausah diraguin lg kualitasnya🥺 pengiriman juga aman bund✌️ tengkyuu
c*****9,"Pengirimannya cepat,, 
Smpai ke alamat dengan aman,, 
Suka suka sukaa..lgi bnyak diskon nyaa
Terimakasih yaaa,,, 👍👍👍👍👍👍👍"
s*****2,Huhuuu baguss bgtt cangtipp gak pernah ngecewain pokoknyaa😭😭
i*****3,Lumayan checkout pas dapet potongan ... lumayan lah yah ...
g*****n,okeeeee bangettttt recommended sangat worth to buy!!!! bahannya adem enak banget cocok ih sukaaa dehhhh
lia_silvia11.,Bahaan bagusss. Cumaa lingkar lehernyaa  lebih sempitt dari pda yang pertama saya beli yang warna Navy... agak kecewa sih:((((( kuranggg lebarrrr:((((((( sempit di bagian lehernya. Gimana mau dipake klo sempit:(
hendra_lesmana11,Bahannya lembut sebagus ini cuma segitu harga murah banget gak kecewa
nhenytamyong,Sudah di terima dengan baik cepat dan aman  mudah mudahan cocok
veeystoree,"Promo 12.12 mancappp abis , sukses terusss buat erigo local ind"
a*****1,Skevfkdoegrmdowhvekdiagebsosgebkxugwjwihsusuwgvekxidvemwodbhewi
girisubodro,barang bagus sekali...lain kali mau order lagi deh...mantab deh
m*****_,"bagus...
bahannya asoy geboy 
diskonnya asoyyyyy duarrrr geboyf"
a*****7,"Alhamdulilah paket udah sampe dengan selamat,seluruh bajunya juga aman gak ada masalah sesuai keinginan 
Terimakasihhh🙏"
piwa_19,Mantabbbbbbb original punya jangan ragu pokoknya muantabbbbb thank you yaaaa
lionynrazizah,Fotonya ini dulu barangnya udh keburu di ambil sama yg mesan intinya pasti bagus sih udh percaya aja sama toko ini❤🤗
faizfachrurozi,Mantap bangettttt ini lagh pokoknya mantap mantap mantap mantap kantapp bangett Lahh
s*****1,"Bagus banget, adem jugaa, makasih ya min, cocok untuk kado nih "
a*****d,Pengemasan cepat..... Pengiriman cepat.... Bahannya lembut......
a*****i,"Pengiriman cepat, kualitas gk usah diragukan lagi, harga terjangkau, sablon & motif bagus.. 😍"
g*****a,"Barang keren abis.... Pengiriman cepat, saller nya ramah banget dan fast respons.
Thank you Erigo"
s*****m,Kualitas produk baik. Produk original. Harga produk baik. Kecepatan pengiriman baik. Respon penjual baik
bucinersngemil,Udah engga perlu di pertanyakan lagi pokoknya emang bagus banget soalnya udh 3 kali order dan ini jaket yang ke 4 karna emang suka banget❤️support lokal brand🇮🇩
n*****b,"Baguss bgt, bahan nya adem. Adek saya suka. Uk nya juga pass, jd pengen beli buat diri sendiri heheh terimkasih erigo"
m*****1,Nah ini yang paling keren 😎 ukurannya pas di badan. Bikin gaya lu yg kentang jd pergedel
h*****7,"Barang sudah sampe dngn selamat , erigo ga pernah mengecewakan"
adekarient,Suka banget ma bahannya yang adem. Pengirimannya cepat banget.
c*****6,Barang sampai dengan selamat dan sesuai dengan pesanan. Mantap
y*****a,"Sesuai pesanan, bagus, dapat harga diskon cucok meongg. Mantul"
deaayu56,Barang bagus pengiriman cepat pokoknya oke lah ♥️♥️♥️♥️♥️♥️♥️😭
dewputt12,"Bagus pol , bahannya lumayan , pengirimannya juga cepat 👍🏼👍🏼👍🏼"
w*****a,Bagussssssssss bgt kereeeeeeennn bakal beli lagi disiniiiiiiiiii anak saya sukaaaaa sekaliiiiii trimsssssssssss banyak
i*****l,Pass...ukuran m okeeeeeee...kualitas lokal rekomendeddeee...bahan sablon okeeeeeeeeeeeeeeeee dapet murahhh 68rb thanks
a*****i,"Produk sesuai pesanan, packing cepet, pengiriman cepet, tdk ada yg defect smuanya oke. Recommended seller. Thanks....."
agusfiansahara258,Mantep lah bhan halus bgt uk l pas bgt biasanya ahk gde dkittpi ini pas atau mungkin sy udh rada gemuk kali wkwk
kakaostuff.id,"Bagus banget 😭😭👍🏻, suka banget bahannya bagus adminnya juga ramah awalnya salah sized takut kebesaran tapi alhamdulillah sizednya cocok sama aku"
rhevalina.assyafa,"Baguss, cuma agak kekecilan ternyata wkwk tp gapapaa bahannya baguss bgt keren, pengiriman jg cepet binggowww"
f*****a,bagusss bgt bahannya adem banget mantap pokonya rekomennnn
destadudesyafira,Sangattt bagus.... mana pengiriman nya cepet banget ya ampon.. makasi banget ya seller dan kurir... i lope u soo much
ayucorneli241,"Top markotop, recommended banget toko ini, murah tapi gak murahan, buruan diorder disini, sangattttt memuaskannnnn........."
f*****z,Terimakasih peasanan sudah diterima dengan baik dan sesuai
indramaretautami,Barang bagus...harga murah..2x beli sangat memuaskan 👍👍👍👍👍
hendydanian,"Mantap press bajunya kain bagus,,,,, dpt cashback byak wkwkwkwkwkwkwkwkwkkwwkwkkekekekekekekwkekekekekekekekekekekeke"
n*****_,Pengiriman standar. Diterima dlm kondisi ok. Bahan ok. Thankyou
6398deni,"ok lah,,pokonya mantap 
siap siap,jos jos jos dong pokoknya mah"
socanexstar,Mantap pengiriman cepat good luck buat shopee dan jnt express
s*****i,Mxncnslsnfkgjdpapworitjutyruueieowpqllaksjfhcbx znmalaidjchfj
bunnysoo.store,Terimakasih atas diskonnya. Bajunya pasti tidak mengecewakan.
triagnes96,"Kualitas barang bagus, nyaman dipakai
Worth to buy 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻"
tiwifrdynti_10,"Pengiriman lumayan cepat,belum aku buka tapi mau di kasih buat doi 😂"
m*****l,"Bagus bnget bahannya, gapanas juga,  mantep deh, tapi pengiriman lama banget pesen tanggal 12 baru dikirim tanggal 22"
g*****i,"Barangnya mantep lah, tapi lengennya pendek  kali hahaha, klok agak gemukan sih pantes aja. pengiriman cepat...... Good job"
f*****0,Sampe sekarng masih ga nyangka bakal dpt baju ini di 12.12 kmren cuman harga 40rb...gambarnya bagus bgt😭 bahan nya adem makasih erigo
g*****i,Bagus amad pengiriman juga lama amad mantab dh pokoknya haha
l*****y,"BAHAN NYA VERY GODDD🤩🤩🤩 
PENGIRIMANNYA SOOOOOO FASTTT!<33"
y*****d,"Bajunya bagus, rapihh dan pengirimannya juga sangat cepat"
najlanevan,"Kaosnya halus...pengemasan rapi...anak sukaaa
Semoga awer😁😁😍"
joey.joedha,"Keren banget
gak nyesel udah beli
admin sangat membantu"
latip100,Mmmmmmmmmmmmmuuuuuuuuuuaaaaaaaaannnnnnnnttttttuuuuuuulllllklll
a*****r,"Barang sampai dengan aman
Produk bagus sesuai pesanan
Mantap"
auliaa.rhmah_,"Masih bingung, mau make atau doi yang make wkwkwk. Heheh.... "
ikbardlorif,Pengemasan ok kwalitas produk ok mantap ...trimakasih shopee
r*****s,Barang datang sebelum lebaran tapi baru ngasi review.. cucok
ipunklicious,"Barang real pic, pengemasan cepat, packing rapi, trims......"
t*****y,"skrngg pengemasann lamaaa, produkk okeee terima kasihhhh"
makpudiapud,"Makasih ya kak, kaosnya udah langsung dipakai sama yang pesan, bagus lagi, semoga anakku suka, terimakasi"
salmaarifah29,"Bagus banget, barangnya oke, blm sempet nilai udh keburu di cuci barangnya jd ga ada fotonya huhu, so far puas bgt"
dhestyanaarthaniashaputri,Produk sampai dengan selamat. Maaf yaa gapake foto dan gapake video. Soal nya lagi diluar kota. Terimakasih...
purnamadesii,"Barangnya cepet bgt sampee ,gapernah kecewaa deh pokonyaa ."
nazwanurlaila.,makasiiiiiii bgss bgttt niii dptt hargaa 29k pas 12.12 yeee
c*****l,Harga produk sangat baik. Kecepatan pengiriman sangat baik.
d*****a,"Sebagus itu, mana cepet lagi sampenya, terima kasih ya kak. "
o*****a,Barangnya bagus suka terimakasih. Pengiriman huga cepet bgt
l*****a,dapet barang sebagus inii cumaa 40k ahaha thankyouuu seller
n*****a,Kualitas produk sangat baik. Produk dikirim sesuai pesanan👍
sourjenow9,"Baguss banget, pengiriman cepat, packing aman, suka bangett"
w*****9,"Bagus sesuai ekspetasi, real pict standar pengirimannya makasih."
n*****2,"pengiriman nya cepat, harga flash sale nya mantul, thanks!"
i*****i,"Bagus bahan adeemm, bagus juga gambarnya. Cuma pengemasannya standar"
septianaeldis,Kualitas produk sangat baik. Pengiriman cepat. Pokoknya oke.
dewilasminii,"Bagusss pengiriman nya lumayan lah, bahan bagus emg gapernah kecewa sama erigo, terimakasih ya."
vhiezicomell,Produk bagus enak dipakai sesuai harga ya kualitas nyaaaaa
nungki77,kaosnya recomended bahan bagus adem...sesuai ekspektasi...next mau belanja lagi di sini...recomended seller👍👍👍👍👍👍👍
yuyuk22,"Lumayan bagus untuk harga segitu dan beli saat momen 12.12, jadi dpt murah,  ditunggu diskon berikutnya smg sukses terus"
nurjannahlailatul,"Huuwaa seneng banget t-shirt nya bagus bgt, bahannya adem halus pula, baru pertama kali beli rasanya pingin beli lagi 😭 Alhamdulillah bgt kemarin kebagian slot waktu 12.12 meskipun ga dapet coach jaketnya huhu. Semoga seller sering2 ngadain flash sale 🥺"
andriani_intan123,"Produk yg ga penah bikin kecewa, bakalan langganan belanja disini. Karena selalu amanah,barang sesuai . Sukses terus ❤"
dhearizkyfirnanda,Pekejing dapi bahan bagus makasih yaaaa recomen banget banki
y*****1,"Pengiriman cepat sekaliiiii
Bahan bagussssssssssssssssssss"
a*****t,sedih ga dapet yang 12ribuan gapapalah ini 40ribu lumayann
muti_080997,"Barangnya cepet dtg nya, kirain bakal lama. Ternyata cepet"
rizkiabc673,BAGUSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS banget
ernisaliman,packing aman pengiriman standar dikirim juga sesuai thanks
d*****l,Harganya murah tapi ga murahan ko kualitasnya 🥰🥰🥰🥰🥰😍😍😍😍😍😍😍
anggitaputriaviantari,"Maaf baru sempat menilai, terimakasih banyaakkk bahannya enk dipakai"
a*****2,"Paket yang paling aku tungguin, sekali nya sampe rmh aku beruntung banget bisa dapeti harga terjangkau dan kaos sebagus ini sablon nya rapi kece abis"
a*****i,Pengiriman sangat cepat produk baguss banget terima kasih
t*****2,"Sesuai pesanan, bajunya bagus bahannya adem, makasih yah."
nurfitrimnuy,Kualitas produk baik. Produk original. Harga produk baik.
m*****i,Kemasan sangat rapih bagus banget pokoknya kemasannya mantulll josss laaah mangap pokoknya erigoo gk nyesel belii
n*****i,Bahannya adem kualitasnya bagus ......................
a*****9,Barang cepat sekali sampai kualitas bahanya bagus sukaaaa
v*****1,"Barang sudah di terima, packingnya baik dan produknya juga bagus "
yhenylusiana,terima kasih bahan bagusss warna bagusss pengiriman cepat
p*****e,Keren keren keren keren kereeeennn. Thankyou erigo team❤️
t*****d,Jzkalalaakanajaoaokansnsjsksksksksksskkskskskskskajaajjaj
v*****n,Produk bagus. Pengiriman aman dan cepat. Terima kasihhhhh
s*****u,"Pengiriman cepat, kualitas produk baik, harga produk baik"
indah_v,"Pengiriman cepat, kualitas produk bagus. Thank you seller"
h*****n,"kaos bagus, gambar sesuai, hanya saja terlalu tipis untuk bahannya
maaf ga sempat foto karna untuk hadiah dan sudah dibawa"
syahrularifin11,"Ga sukaa samaa keranya kecill bngt ga samaaa kaya yg lainn kya ke kidet gituuu, ishhhh. Tpi makasih yahh"
mayla2204,"Bahan baguss banget
Kualitas orii
Bsk bakal order lagii
Maaf yaa fotonya gelap karna lagi di cuciii"
hj.zunik,Terimakasih. Paket sudah sampai.. waaah bahannya lembut sekali. Ukurannya juga pas di aku. Jahitannya juga rapi.
agnesmarchella,"just arrived👍🏻 pengiriman cepat, pengemasan rapi dan aman, produk sesua original dan sesuai foto, worth tp buy👌🏻"
dianyuliaa20__,"Baaaaaaaguuussss bangeeeeeet benerrrr benerrrrrrr theeee best, penjualnyaa jugaa baaaik dan ramah bangett😍😍😍😍😍😍😍"
r*****9,Ukuran pas. Barang sesuai pesanan. Mantap deh pokoknya. Selalu beli erigo. Pas murah juga. Thanks. Sukses selalu
triendangruntanti,"Untuk yang kesekian kalinya order t-shirt erigo yang bahannya super adem, pengiriman gapernah ngecewain, pokonya the bestttt"
raniyuniarsih,Harga murah kualitas oke banget pengiriman cepat suka suka suka suka suka
naurahnzhfh19,"Bahannya bagus, adem banget! Berkali2 beli kaos disini dan gak nyesel"
skincarejustmine_bogor,Bagus sekali bahannya juga bagus terus adminnya ngabarin kalau misalkan traffic-nya lagi tinggi bagus ngasih kabar nggak bisa foto bajunya karena langsung dipakai sama yg psn
m*****i,"Barangnyaa bagus,mudah-mudahan pelanggan saya sukaaaaaa."
aswarsappa,Bajunya bagus banget..... Bahannya adem dan keren banget......
d*****s,"bagus deh bajunyaaaa, bahannyaaaaaa adeeemmmm,,,,,,,,,,,"
c*****9,"pengiriman cepat, produk baik, pengemasannya aman, bagus"
w*****7,"Kualitas produk baik, pengiriman baik, produk original.."
m*****a,"Udah langganan banged sama erigo tetep love.. untuk bajunya bahan tebal yah, mudah2an si adem dipake. Makasih erigo .."
n*****a,karena ini buat kado jadi gaada gambarnya tapi pacarku dan adeknya suka banget katanya bahanya dan designnya bagus 🤗♥️
alya.meidiyanti,"Pengiriman nya 2 hari, biasanya seharii mungkinn karna banyakk yg orderr kan 12.12
Bagusss ga pernah ngecewain❤"
